title,diffIndex,level,raw
その群青が愛しかったようだった,3,7,Lv. 7
その群青が愛しかったようだった,4,9.5,Lv. 9.5
その群青が愛しかったようだった,5,11.4,Lv. 11.4
ホシトハナ,1,2,Lv. 2
ホシトハナ,2,4,Lv. 4
ホシトハナ,3,6.8,Lv. 6.8
ホシトハナ,4,9.2,Lv. 9.2
ホシトハナ,5,11,Lv. 11
ゆりゆららららゆるゆり大事件,1,2,Lv. 2
ゆりゆららららゆるゆり大事件,2,4,Lv. 4
ゆりゆららららゆるゆり大事件,3,6.4,Lv. 6.4
ゆりゆららららゆるゆり大事件,4,7.5,Lv. 7.5
ゆりゆららららゆるゆり大事件,5,10.7,Lv. 10.7
全力☆Summer!,1,2,Lv. 2
全力☆Summer!,2,4,Lv. 4
全力☆Summer!,3,6.7,Lv. 6.7
全力☆Summer!,4,8.8,Lv. 8.8
全力☆Summer!,5,10.8,Lv. 10.8
全力☆Summer!,6,11.8,Lv. 11.8
夜明けまであと３秒,1,4,Lv. 4
夜明けまであと３秒,2,6,Lv. 6
夜明けまであと３秒,3,8.5,Lv. 8.5
夜明けまであと３秒,4,11,Lv. 11
夜明けまであと３秒,5,12.9,Lv. 12.9
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,1,2,Lv. 2
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,2,5,Lv. 5
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,3,6.7,Lv. 6.7
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,4,8.2,Lv. 8.2
私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,5,12,Lv. 12
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],1,2,Lv. 2
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],2,4,Lv. 4
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],3,7.5,Lv. 7.5
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],4,10,Lv. 10
[Toho nicokara]Secret God Matara feat.TAMAONSEN[IOSYS],5,12.7,Lv. 12.7
+♂,1,3,Lv. 3
+♂,2,5,Lv. 5
+♂,3,7.5,Lv. 7.5
+♂,4,9,Lv. 9
+♂,5,12.1,Lv. 12.1
～AETERNITAS LUDOLOGY～,1,2,Lv. 2
～AETERNITAS LUDOLOGY～,2,4,Lv. 4
～AETERNITAS LUDOLOGY～,3,6.8,Lv. 6.8
～AETERNITAS LUDOLOGY～,4,9.7,Lv. 9.7
～AETERNITAS LUDOLOGY～,5,12.3,Lv. 12.3
39,1,2,Lv. 2
39,2,5,Lv. 5
39,3,7.8,Lv. 7.8
39,4,9.8,Lv. 9.8
39,5,12,Lv. 12
39,6,12.3,Lv. 12.3
7thSense,1,4,Lv. 4
7thSense,2,6,Lv. 6
7thSense,3,8,Lv. 8
7thSense,4,10,Lv. 10
7thSense,5,13,Lv. 13
After Burner,1,3,Lv. 3
After Burner,2,5,Lv. 5
After Burner,3,7.8,Lv. 7.8
After Burner,4,10,Lv. 10
After Burner,5,12,Lv. 12
Aimai Mind,1,2,Lv. 2
Aimai Mind,2,5,Lv. 5
Aimai Mind,3,7.8,Lv. 7.8
Aimai Mind,4,10.2,Lv. 10.2
Aimai Mind,5,12,Lv. 12
Aiolos,1,4,Lv. 4
Aiolos,2,6,Lv. 6
Aiolos,3,8,Lv. 8
Aiolos,4,10.6,Lv. 10.6
Aiolos,5,13,Lv. 13
air's gravity,1,4,Lv. 4
air's gravity,2,5,Lv. 5
air's gravity,3,7.8,Lv. 7.8
air's gravity,4,9.8,Lv. 9.8
air's gravity,5,12.1,Lv. 12.1
akeboshi rocket,1,2,Lv. 2
akeboshi rocket,2,4,Lv. 4
akeboshi rocket,3,6.8,Lv. 6.8
akeboshi rocket,4,8.6,Lv. 8.6
akeboshi rocket,5,10.7,Lv. 10.7
akeboshi rocket,6,11.3,Lv. 11.3
Alea jacta est!,1,4,Lv. 4
Alea jacta est!,2,6,Lv. 6
Alea jacta est!,3,8.8,Lv. 8.8
Alea jacta est!,4,11.5,Lv. 11.5
Alea jacta est!,5,13.5,Lv. 13.5
Alea jacta est!,6,13.9,Lv. 13.9
amanojaku,1,3,Lv. 3
amanojaku,2,5,Lv. 5
amanojaku,3,7.6,Lv. 7.6
amanojaku,4,9.3,Lv. 9.3
amanojaku,5,11.7,Lv. 11.7
Amanojaku Reverse (feat. ｙｔｒ),1,2,Lv. 2
Amanojaku Reverse (feat. ｙｔｒ),2,4,Lv. 4
Amanojaku Reverse (feat. ｙｔｒ),3,7.2,Lv. 7.2
Amanojaku Reverse (feat. ｙｔｒ),4,9.8,Lv. 9.8
Amanojaku Reverse (feat. ｙｔｒ),5,12.6,Lv. 12.6
AMAZING MIGHTYYYY!!!!,1,4,Lv. 4
AMAZING MIGHTYYYY!!!!,2,6,Lv. 6
AMAZING MIGHTYYYY!!!!,3,9,Lv. 9
AMAZING MIGHTYYYY!!!!,4,12,Lv. 12
AMAZING MIGHTYYYY!!!!,5,13.6,Lv. 13.6
AMAZING MIGHTYYYY!!!!,6,13.5,Lv. 13.5
Amenohoakari,1,3,Lv. 3
Amenohoakari,2,5,Lv. 5
Amenohoakari,3,8.9,Lv. 8.9
Amenohoakari,4,11.3,Lv. 11.3
Amenohoakari,5,12.9,Lv. 12.9
Angels with Burning Hearts,1,2,Lv. 2
Angels with Burning Hearts,2,4,Lv. 4
Angels with Burning Hearts,3,7.6,Lv. 7.6
Angels with Burning Hearts,4,9.5,Lv. 9.5
Angels with Burning Hearts,5,10.4,Lv. 10.4
Angels with Burning Hearts,6,12.7,Lv. 12.7
Anticyclone Cat Rock,1,3,Lv. 3
Anticyclone Cat Rock,2,5,Lv. 5
Anticyclone Cat Rock,3,8,Lv. 8
Anticyclone Cat Rock,4,9.8,Lv. 9.8
Anticyclone Cat Rock,5,12.3,Lv. 12.3
Argent Symmetry,1,2,Lv. 2
Argent Symmetry,2,4,Lv. 4
Argent Symmetry,3,6.4,Lv. 6.4
Argent Symmetry,4,9.4,Lv. 9.4
Argent Symmetry,5,12.1,Lv. 12.1
Arifureta sekai seifuku,1,2,Lv. 2
Arifureta sekai seifuku,2,4,Lv. 4
Arifureta sekai seifuku,3,6.8,Lv. 6.8
Arifureta sekai seifuku,4,8.4,Lv. 8.4
Arifureta sekai seifuku,5,12,Lv. 12
ARROW,1,2,Lv. 2
ARROW,2,4,Lv. 4
ARROW,3,6.8,Lv. 6.8
ARROW,4,10.2,Lv. 10.2
ARROW,5,12.3,Lv. 12.3
Audience wo wakasu teido no nouryoku feat.Tights-on,1,2,Lv. 2
Audience wo wakasu teido no nouryoku feat.Tights-on,2,4,Lv. 4
Audience wo wakasu teido no nouryoku feat.Tights-on,3,7.2,Lv. 7.2
Audience wo wakasu teido no nouryoku feat.Tights-on,4,9,Lv. 9
Audience wo wakasu teido no nouryoku feat.Tights-on,5,12,Lv. 12
Axeria,1,4,Lv. 4
Axeria,2,6,Lv. 6
Axeria,3,7.8,Lv. 7.8
Axeria,4,10.8,Lv. 10.8
Axeria,5,13.4,Lv. 13.4
B.M.S.,1,3,Lv. 3
B.M.S.,2,5,Lv. 5
B.M.S.,3,8,Lv. 8
B.M.S.,4,11,Lv. 11
B.M.S.,5,13,Lv. 13
Back 2 Back,1,3,Lv. 3
Back 2 Back,2,5,Lv. 5
Back 2 Back,3,7,Lv. 7
Back 2 Back,4,9.3,Lv. 9.3
Back 2 Back,5,12.5,Lv. 12.5
Bad Apple!! feat nomico,1,2,Lv. 2
Bad Apple!! feat nomico,2,4,Lv. 4
Bad Apple!! feat nomico,3,6,Lv. 6
Bad Apple!! feat nomico,4,8.9,Lv. 8.9
Bad Apple!! feat nomico,5,10.9,Lv. 10.9
Bad Apple!! feat nomico,6,12.3,Lv. 12.3
BAD・DANCE・HALL,1,2,Lv. 2
BAD・DANCE・HALL,2,4,Lv. 4
BAD・DANCE・HALL,3,6.7,Lv. 6.7
BAD・DANCE・HALL,4,9.8,Lv. 9.8
BAD・DANCE・HALL,5,12,Lv. 12
Bang Babang Bang!!!,1,2,Lv. 2
Bang Babang Bang!!!,2,5,Lv. 5
Bang Babang Bang!!!,3,7.7,Lv. 7.7
Bang Babang Bang!!!,4,9.8,Lv. 9.8
Bang Babang Bang!!!,5,12,Lv. 12
Beat Of Mind,1,4,Lv. 4
Beat Of Mind,2,6,Lv. 6
Beat Of Mind,3,8.5,Lv. 8.5
Beat Of Mind,4,10.5,Lv. 10.5
Beat Of Mind,5,10.5,Lv. 10.5
Beat Of Mind,6,13.5,Lv. 13.5
Believe the Rainbow,1,2,Lv. 2
Believe the Rainbow,2,4,Lv. 4
Believe the Rainbow,3,7.8,Lv. 7.8
Believe the Rainbow,4,8.8,Lv. 8.8
Believe the Rainbow,5,12,Lv. 12
Blew Moon,1,2,Lv. 2
Blew Moon,2,4,Lv. 4
Blew Moon,3,8.4,Lv. 8.4
Blew Moon,4,10.3,Lv. 10.3
Blew Moon,5,11.9,Lv. 11.9
Blew Moon,6,11.7,Lv. 11.7
Brain Power,1,3,Lv. 3
Brain Power,2,5,Lv. 5
Brain Power,3,7.9,Lv. 7.9
Brain Power,4,10.2,Lv. 10.2
Brain Power,5,12.6,Lv. 12.6
Brionac of Steel-flash,1,4,Lv. 4
Brionac of Steel-flash,2,6,Lv. 6
Brionac of Steel-flash,3,8,Lv. 8
Brionac of Steel-flash,4,10,Lv. 10
Brionac of Steel-flash,5,12.7,Lv. 12.7
BURIKI NO DANCE,1,3,Lv. 3
BURIKI NO DANCE,2,5,Lv. 5
BURIKI NO DANCE,3,7,Lv. 7
BURIKI NO DANCE,4,9.4,Lv. 9.4
BURIKI NO DANCE,5,11.1,Lv. 11.1
BURIKI NO DANCE,6,12.5,Lv. 12.5
Butterfly on your Right Shoulder,1,2,Lv. 2
Butterfly on your Right Shoulder,2,4,Lv. 4
Butterfly on your Right Shoulder,3,6.5,Lv. 6.5
Butterfly on your Right Shoulder,4,9.8,Lv. 9.8
Butterfly on your Right Shoulder,5,12.4,Lv. 12.4
Calamity Fortune,1,3,Lv. 3
Calamity Fortune,2,6,Lv. 6
Calamity Fortune,3,8.5,Lv. 8.5
Calamity Fortune,4,11,Lv. 11
Calamity Fortune,5,13.2,Lv. 13.2
Caliburne ～Story of the Legendary sword～,1,4,Lv. 4
Caliburne ～Story of the Legendary sword～,2,6,Lv. 6
Caliburne ～Story of the Legendary sword～,3,8.6,Lv. 8.6
Caliburne ～Story of the Legendary sword～,4,11,Lv. 11
Caliburne ～Story of the Legendary sword～,5,13.2,Lv. 13.2
caramelldansen,1,3,Lv. 3
caramelldansen,2,5,Lv. 5
caramelldansen,3,7.5,Lv. 7.5
caramelldansen,4,8,Lv. 8
caramelldansen,5,11.7,Lv. 11.7
Change Our MIRAI！,1,3,Lv. 3
Change Our MIRAI！,2,4,Lv. 4
Change Our MIRAI！,3,7.2,Lv. 7.2
Change Our MIRAI！,4,9.5,Lv. 9.5
Change Our MIRAI！,5,11.7,Lv. 11.7
Charles,1,2,Lv. 2
Charles,2,4,Lv. 4
Charles,3,6.2,Lv. 6.2
Charles,4,8.5,Lv. 8.5
Charles,5,11.7,Lv. 11.7
Cirno's Perfect Math Class,1,2,Lv. 2
Cirno's Perfect Math Class,2,4,Lv. 4
Cirno's Perfect Math Class,3,6.4,Lv. 6.4
Cirno's Perfect Math Class,4,8.8,Lv. 8.8
Cirno's Perfect Math Class,5,11.7,Lv. 11.7
CITRUS MONSTER,1,3,Lv. 3
CITRUS MONSTER,2,6,Lv. 6
CITRUS MONSTER,3,8.5,Lv. 8.5
CITRUS MONSTER,4,10.8,Lv. 10.8
CITRUS MONSTER,5,13.4,Lv. 13.4
Close and Open Demons and the Dead,1,2,Lv. 2
Close and Open Demons and the Dead,2,4,Lv. 4
Close and Open Demons and the Dead,3,7,Lv. 7
Close and Open Demons and the Dead,4,9.5,Lv. 9.5
Close and Open Demons and the Dead,5,11,Lv. 11
Close and Open Demons and the Dead,6,12.3,Lv. 12.3
Clover♣Club,1,2,Lv. 2
Clover♣Club,2,4,Lv. 4
Clover♣Club,3,6.2,Lv. 6.2
Clover♣Club,4,8.1,Lv. 8.1
Clover♣Club,5,12,Lv. 12
Colorful × Melody,1,2,Lv. 2
Colorful × Melody,2,5,Lv. 5
Colorful × Melody,3,7.2,Lv. 7.2
Colorful × Melody,4,9.8,Lv. 9.8
Colorful × Melody,5,11.7,Lv. 11.7
connect,1,2,Lv. 2
connect,2,5,Lv. 5
connect,3,7.3,Lv. 7.3
connect,4,7.8,Lv. 7.8
connect,5,10.8,Lv. 10.8
Conquista Ciela,1,2,Lv. 2
Conquista Ciela,2,4,Lv. 4
Conquista Ciela,3,6.8,Lv. 6.8
Conquista Ciela,4,8.5,Lv. 8.5
Conquista Ciela,5,11.7,Lv. 11.7
Contrapasso -paradiso-,1,4,Lv. 4
Contrapasso -paradiso-,2,6,Lv. 6
Contrapasso -paradiso-,3,8.7,Lv. 8.7
Contrapasso -paradiso-,4,11.5,Lv. 11.5
Contrapasso -paradiso-,5,13.4,Lv. 13.4
Crazy Crazy Dancers,1,2,Lv. 2
Crazy Crazy Dancers,2,4,Lv. 4
Crazy Crazy Dancers,3,7.5,Lv. 7.5
Crazy Crazy Dancers,4,9.2,Lv. 9.2
Crazy Crazy Dancers,5,10.8,Lv. 10.8
Crazy Crazy Dancers,6,12.7,Lv. 12.7
Crush On You,1,2,Lv. 2
Crush On You,2,4,Lv. 4
Crush On You,3,6.8,Lv. 6.8
Crush On You,4,8,Lv. 8
Crush On You,5,10,Lv. 10
Crush On You,6,12.9,Lv. 12.9
CYBER Sparks,1,3,Lv. 3
CYBER Sparks,2,5,Lv. 5
CYBER Sparks,3,7,Lv. 7
CYBER Sparks,4,10,Lv. 10
CYBER Sparks,5,10.9,Lv. 10.9
CYBER Sparks,6,12.8,Lv. 12.8
CYCLES,1,2,Lv. 2
CYCLES,2,5,Lv. 5
CYCLES,3,7.2,Lv. 7.2
CYCLES,4,9.2,Lv. 9.2
CYCLES,5,12.6,Lv. 12.6
D✪N’T ST✪P R✪CKIN’,1,3,Lv. 3
D✪N’T ST✪P R✪CKIN’,2,5,Lv. 5
D✪N’T ST✪P R✪CKIN’,3,7.3,Lv. 7.3
D✪N’T ST✪P R✪CKIN’,4,10.2,Lv. 10.2
D✪N’T ST✪P R✪CKIN’,5,12.7,Lv. 12.7
DADDY MULK -Groove remix-,1,2,Lv. 2
DADDY MULK -Groove remix-,2,4,Lv. 4
DADDY MULK -Groove remix-,3,6.7,Lv. 6.7
DADDY MULK -Groove remix-,4,10.3,Lv. 10.3
DADDY MULK -Groove remix-,5,12.5,Lv. 12.5
Dance Robot Dance,1,3,Lv. 3
Dance Robot Dance,2,5,Lv. 5
Dance Robot Dance,3,7.2,Lv. 7.2
Dance Robot Dance,4,9.8,Lv. 9.8
Dance Robot Dance,5,12,Lv. 12
Danza zandA,1,2,Lv. 2
Danza zandA,2,4,Lv. 4
Danza zandA,3,7,Lv. 7
Danza zandA,4,9.2,Lv. 9.2
Danza zandA,5,12,Lv. 12
Danza zandA,6,12,Lv. 12
DEAD RED GIRLS,1,2,Lv. 2
DEAD RED GIRLS,2,4,Lv. 4
DEAD RED GIRLS,3,7.8,Lv. 7.8
DEAD RED GIRLS,4,9.2,Lv. 9.2
DEAD RED GIRLS,5,12.7,Lv. 12.7
Dear Doppelganger,1,3,Lv. 3
Dear Doppelganger,2,5,Lv. 5
Dear Doppelganger,3,7.7,Lv. 7.7
Dear Doppelganger,4,10.5,Lv. 10.5
Dear Doppelganger,5,12.6,Lv. 12.6
Death Scythe,1,2,Lv. 2
Death Scythe,2,5,Lv. 5
Death Scythe,3,7.8,Lv. 7.8
Death Scythe,4,10.3,Lv. 10.3
Death Scythe,5,12.4,Lv. 12.4
Deep in Abyss,1,1,Lv. 1
Deep in Abyss,2,4,Lv. 4
Deep in Abyss,3,6,Lv. 6
Deep in Abyss,4,8.7,Lv. 8.7
Deep in Abyss,5,11.7,Lv. 11.7
Deep-Sea Girl,1,2,Lv. 2
Deep-Sea Girl,2,4,Lv. 4
Deep-Sea Girl,3,6.5,Lv. 6.5
Deep-Sea Girl,4,8.5,Lv. 8.5
Deep-Sea Girl,5,11.7,Lv. 11.7
Delusion Tax,1,2,Lv. 2
Delusion Tax,2,4,Lv. 4
Delusion Tax,3,6.5,Lv. 6.5
Delusion Tax,4,9,Lv. 9
Delusion Tax,5,10.3,Lv. 10.3
DETARAME ROCK&ROLL THEORY,1,3,Lv. 3
DETARAME ROCK&ROLL THEORY,2,4,Lv. 4
DETARAME ROCK&ROLL THEORY,3,7.6,Lv. 7.6
DETARAME ROCK&ROLL THEORY,4,9.5,Lv. 9.5
DETARAME ROCK&ROLL THEORY,5,12.2,Lv. 12.2
DOKIDOKI DREAM!!!,1,3,Lv. 3
DOKIDOKI DREAM!!!,2,5,Lv. 5
DOKIDOKI DREAM!!!,3,7.9,Lv. 7.9
DOKIDOKI DREAM!!!,4,9.9,Lv. 9.9
DOKIDOKI DREAM!!!,5,11.8,Lv. 11.8
Doll Judgment,1,3,Lv. 3
Doll Judgment,2,4,Lv. 4
Doll Judgment,3,7.8,Lv. 7.8
Doll Judgment,4,10.4,Lv. 10.4
Doll Judgment,5,12.5,Lv. 12.5
DONUT HOLE,1,3,Lv. 3
DONUT HOLE,2,5,Lv. 5
DONUT HOLE,3,6.8,Lv. 6.8
DONUT HOLE,4,10.4,Lv. 10.4
DONUT HOLE,5,12.7,Lv. 12.7
DRAGONLADY,1,2,Lv. 2
DRAGONLADY,2,5,Lv. 5
DRAGONLADY,3,7.6,Lv. 7.6
DRAGONLADY,4,11.4,Lv. 11.4
DRAGONLADY,5,12.8,Lv. 12.8
Dragoon,1,3,Lv. 3
Dragoon,2,5,Lv. 5
Dragoon,3,7.8,Lv. 7.8
Dragoon,4,9.4,Lv. 9.4
Dragoon,5,12.3,Lv. 12.3
DUNE feat. Hatsune Miku,1,2,Lv. 2
DUNE feat. Hatsune Miku,2,4,Lv. 4
DUNE feat. Hatsune Miku,3,6.8,Lv. 6.8
DUNE feat. Hatsune Miku,4,9,Lv. 9
DUNE feat. Hatsune Miku,5,12.3,Lv. 12.3
ECHO,1,2,Lv. 2
ECHO,2,4,Lv. 4
ECHO,3,6.8,Lv. 6.8
ECHO,4,9.7,Lv. 9.7
ECHO,5,12.5,Lv. 12.5
Electric Angel,1,2,Lv. 2
Electric Angel,2,4,Lv. 4
Electric Angel,3,7.2,Lv. 7.2
Electric Angel,4,8.8,Lv. 8.8
Electric Angel,5,10.9,Lv. 10.9
End Mark ni Kibou to Namida wo soete,1,4,Lv. 4
End Mark ni Kibou to Namida wo soete,2,6,Lv. 6
End Mark ni Kibou to Namida wo soete,3,8.8,Lv. 8.8
End Mark ni Kibou to Namida wo soete,4,11.1,Lv. 11.1
End Mark ni Kibou to Namida wo soete,5,13.3,Lv. 13.3
End Time,1,3,Lv. 3
End Time,2,6,Lv. 6
End Time,3,8.5,Lv. 8.5
End Time,4,11.4,Lv. 11.4
End Time,5,13.7,Lv. 13.7
ENERGY SYNERGY MATRIX,1,2,Lv. 2
ENERGY SYNERGY MATRIX,2,5,Lv. 5
ENERGY SYNERGY MATRIX,3,7,Lv. 7
ENERGY SYNERGY MATRIX,4,10.9,Lv. 10.9
ENERGY SYNERGY MATRIX,5,12.7,Lv. 12.7
ENJOY POLIS,1,2,Lv. 2
ENJOY POLIS,2,5,Lv. 5
ENJOY POLIS,3,7.4,Lv. 7.4
ENJOY POLIS,4,9,Lv. 9
ENJOY POLIS,5,11.7,Lv. 11.7
Epikouros no niji wa mou mienai,1,2,Lv. 2
Epikouros no niji wa mou mienai,2,4,Lv. 4
Epikouros no niji wa mou mienai,3,6.6,Lv. 6.6
Epikouros no niji wa mou mienai,4,8.4,Lv. 8.4
Epikouros no niji wa mou mienai,5,10.6,Lv. 10.6
Epikouros no niji wa mou mienai,6,11.9,Lv. 11.9
EVERGREEN,1,2,Lv. 2
EVERGREEN,2,4,Lv. 4
EVERGREEN,3,7,Lv. 7
EVERGREEN,4,10.5,Lv. 10.5
EVERGREEN,5,12,Lv. 12
Excalibur ～Revived resolution～,1,4,Lv. 4
Excalibur ～Revived resolution～,2,6,Lv. 6
Excalibur ～Revived resolution～,3,9.5,Lv. 9.5
Excalibur ～Revived resolution～,4,11.5,Lv. 11.5
Excalibur ～Revived resolution～,5,13.8,Lv. 13.8
fake!fake!,1,2,Lv. 2
fake!fake!,2,4,Lv. 4
fake!fake!,3,7,Lv. 7
fake!fake!,4,8.7,Lv. 8.7
fake!fake!,5,11.7,Lv. 11.7
FFT,1,4,Lv. 4
FFT,2,6,Lv. 6
FFT,3,8.7,Lv. 8.7
FFT,4,11.6,Lv. 11.6
FFT,5,13.5,Lv. 13.5
FFT,6,13.9,Lv. 13.9
Fist Bump,1,3,Lv. 3
Fist Bump,2,5,Lv. 5
Fist Bump,3,7.7,Lv. 7.7
Fist Bump,4,9.8,Lv. 9.8
Fist Bump,5,12,Lv. 12
Fixer,1,2,Lv. 2
Fixer,2,4,Lv. 4
Fixer,3,6.8,Lv. 6.8
Fixer,4,8.8,Lv. 8.8
Fixer,5,12.4,Lv. 12.4
FLOWER,1,3,Lv. 3
FLOWER,2,5,Lv. 5
FLOWER,3,7.5,Lv. 7.5
FLOWER,4,10.3,Lv. 10.3
FLOWER,5,12.8,Lv. 12.8
"Flower, snow and Drum'n'bass.",1,2,Lv. 2
"Flower, snow and Drum'n'bass.",2,6,Lv. 6
"Flower, snow and Drum'n'bass.",3,8,Lv. 8
"Flower, snow and Drum'n'bass.",4,11.3,Lv. 11.3
"Flower, snow and Drum'n'bass.",5,13.5,Lv. 13.5
"Flower, snow and Drum'n'bass.",6,12.9,Lv. 12.9
Four-Dimensional Warp Device,1,2,Lv. 2
Four-Dimensional Warp Device,2,4,Lv. 4
Four-Dimensional Warp Device,3,6.2,Lv. 6.2
Four-Dimensional Warp Device,4,9.2,Lv. 9.2
Four-Dimensional Warp Device,5,12,Lv. 12
FREEDOM DiVE (tpz Overcute Remix),1,4,Lv. 4
FREEDOM DiVE (tpz Overcute Remix),2,6,Lv. 6
FREEDOM DiVE (tpz Overcute Remix),3,8.7,Lv. 8.7
FREEDOM DiVE (tpz Overcute Remix),4,10.8,Lv. 10.8
FREEDOM DiVE (tpz Overcute Remix),5,13.4,Lv. 13.4
Fusigi-no-kuni no Christmas,1,2,Lv. 2
Fusigi-no-kuni no Christmas,2,4,Lv. 4
Fusigi-no-kuni no Christmas,3,5.8,Lv. 5.8
Fusigi-no-kuni no Christmas,4,8.5,Lv. 8.5
Fusigi-no-kuni no Christmas,5,11.8,Lv. 11.8
Gacha Gacha Cute Figu@mate,1,3,Lv. 3
Gacha Gacha Cute Figu@mate,2,5,Lv. 5
Gacha Gacha Cute Figu@mate,3,7,Lv. 7
Gacha Gacha Cute Figu@mate,4,9.8,Lv. 9.8
Gacha Gacha Cute Figu@mate,5,11.8,Lv. 11.8
Garakuta Doll Play,1,4,Lv. 4
Garakuta Doll Play,2,6,Lv. 6
Garakuta Doll Play,3,8.2,Lv. 8.2
Garakuta Doll Play,4,11,Lv. 11
Garakuta Doll Play,5,13.1,Lv. 13.1
Garakuta Doll Play,6,13.7,Lv. 13.7
gensounosateraito,1,2,Lv. 2
gensounosateraito,2,4,Lv. 4
gensounosateraito,3,7.3,Lv. 7.3
gensounosateraito,4,9.7,Lv. 9.7
gensounosateraito,5,12.9,Lv. 12.9
Get Happy,1,3,Lv. 3
Get Happy,2,5,Lv. 5
Get Happy,3,7,Lv. 7
Get Happy,4,10.8,Lv. 10.8
Get Happy,5,12.3,Lv. 12.3
Getting Faster and Faster,1,2,Lv. 2
Getting Faster and Faster,2,4,Lv. 4
Getting Faster and Faster,3,7.5,Lv. 7.5
Getting Faster and Faster,4,8.8,Lv. 8.8
Getting Faster and Faster,5,10.9,Lv. 10.9
Getting Faster and Faster,6,11.2,Lv. 11.2
Glorious Crown,1,4,Lv. 4
Glorious Crown,2,6,Lv. 6
Glorious Crown,3,9.7,Lv. 9.7
Glorious Crown,4,11.3,Lv. 11.3
Glorious Crown,5,13.7,Lv. 13.7
GO BACK 2 YOUR RAVE,1,3,Lv. 3
GO BACK 2 YOUR RAVE,2,5,Lv. 5
GO BACK 2 YOUR RAVE,3,7.7,Lv. 7.7
GO BACK 2 YOUR RAVE,4,10.5,Lv. 10.5
GO BACK 2 YOUR RAVE,5,12.9,Lv. 12.9
GoldenHolyNightRottingintotheFrostandSnow,1,3,Lv. 3
GoldenHolyNightRottingintotheFrostandSnow,2,5,Lv. 5
GoldenHolyNightRottingintotheFrostandSnow,3,7.8,Lv. 7.8
GoldenHolyNightRottingintotheFrostandSnow,4,9.8,Lv. 9.8
GoldenHolyNightRottingintotheFrostandSnow,5,11.9,Lv. 11.9
"Good Bye, Mr. Jack",1,3,Lv. 3
"Good Bye, Mr. Jack",2,5,Lv. 5
"Good Bye, Mr. Jack",3,8.2,Lv. 8.2
"Good Bye, Mr. Jack",4,11.5,Lv. 11.5
"Good Bye, Mr. Jack",5,12.9,Lv. 12.9
Grumpy Waltz,1,3,Lv. 3
Grumpy Waltz,2,5,Lv. 5
Grumpy Waltz,3,7,Lv. 7
Grumpy Waltz,4,8.8,Lv. 8.8
Grumpy Waltz,5,12.1,Lv. 12.1
Guren no Yumiya,1,1,Lv. 1
Guren no Yumiya,2,4,Lv. 4
Guren no Yumiya,3,7.8,Lv. 7.8
Guren no Yumiya,4,9,Lv. 9
Guren no Yumiya,5,11.1,Lv. 11.1
Hand in Hand,1,2,Lv. 2
Hand in Hand,2,4,Lv. 4
Hand in Hand,3,6,Lv. 6
Hand in Hand,4,8.9,Lv. 8.9
Hand in Hand,5,11.2,Lv. 11.2
Helix of Garatia,1,3,Lv. 3
Helix of Garatia,2,6,Lv. 6
Helix of Garatia,3,8,Lv. 8
Helix of Garatia,4,11,Lv. 11
Helix of Garatia,5,13.5,Lv. 13.5
Helix of Garatia,6,13.7,Lv. 13.7
HERA,1,4,Lv. 4
HERA,2,6,Lv. 6
HERA,3,8.5,Lv. 8.5
HERA,4,10.8,Lv. 10.8
HERA,5,13.2,Lv. 13.2
HIBANA,1,3,Lv. 3
HIBANA,2,4,Lv. 4
HIBANA,3,7.4,Lv. 7.4
HIBANA,4,9.7,Lv. 9.7
HIBANA,5,10.8,Lv. 10.8
HIBANA,6,11.8,Lv. 11.8
Hibikase,1,2,Lv. 2
Hibikase,2,4,Lv. 4
Hibikase,3,7,Lv. 7
Hibikase,4,9.8,Lv. 9.8
Hibikase,5,12.1,Lv. 12.1
hiiro no dance,1,2,Lv. 2
hiiro no dance,2,4,Lv. 4
hiiro no dance,3,6.8,Lv. 6.8
hiiro no dance,4,9,Lv. 9
hiiro no dance,5,11.9,Lv. 11.9
hiiro no dance,6,12.6,Lv. 12.6
HIMITSU SPARK,1,2,Lv. 2
HIMITSU SPARK,2,4,Lv. 4
HIMITSU SPARK,3,6.8,Lv. 6.8
HIMITSU SPARK,4,8.7,Lv. 8.7
HIMITSU SPARK,5,11.7,Lv. 11.7
Houkago Stride,1,2,Lv. 2
Houkago Stride,2,4,Lv. 4
Houkago Stride,3,7.6,Lv. 7.6
Houkago Stride,4,9.1,Lv. 9.1
Houkago Stride,5,11.8,Lv. 11.8
How to be maimai sinken master!,1,3,Lv. 3
How to be maimai sinken master!,2,5,Lv. 5
How to be maimai sinken master!,3,7.8,Lv. 7.8
How to be maimai sinken master!,4,9.7,Lv. 9.7
How to be maimai sinken master!,5,12.2,Lv. 12.2
Hyper Active,1,4,Lv. 4
Hyper Active,2,6,Lv. 6
